CEIPT_DT_1,INTERV EW_DT_1,DECISION_DT_1,RECEIPT_DT_2,INTERV EW_DT_2,DECISION_DT_2,DEC SION_DT_4,INTERVIEW_COMPLETED   SCHEDULED_INTERVIEW_DT,DEP_DTP_Enlistment_Date   ,CI_Screening_Results_at_DoDCAF  , Completed_MSSD,USCIS_Notified_on_F nal_Su tab lity_Determination_ Date)
7/10/17,,,,,,,,3/23/16,12/5/17,4/18/18,4/18/18
4/24/17,,,,,,,6/25/18,4/12/16,12/26/17,4/18/18,4/18/18
7/27/17,,,,,,,,3/24/16,1/9/18,,
4/25/17,,,,,,,,12/8/15,8/29/17,5/16/18,5/17/18
2/22/17,,,,,,,,2/18/16,11/29/17,,
2/27/18,,,,,,,,3/16/16,12/26/17,,
3/16/18,,,,,,,,12/11/15,9/23/17,5/11/18,5/11/18
4/6/18,,,,,,,,5/3/16,1/22/18,4/10/18,4/10/18
3/9/17,,,,,,,,5/12/16,1/10/18,5/16/18,5/17/18
5/3/18,,,,,,,,5/9/16,1/4/18,,
5/2/18,,,,,,,,3/11/16,11/27/17,,
8/30/17,,,,,,,,3/10/16,2/5/18,,
3/2/17,,,,,,,,12/17/15,11/5/17,,
6/1/17,,,,,,,6/11/18,6/23/16,2/5/18,,
2/20/18,,,,,,,,3/17/16,1/11/18,,
1/10/17,,,,,,,5/31/18,1/8/16,2/23/18,3/23/18,3/23/18
7/24/17,,,,,,,,6/6/16,1/19/18,3/1/18,3/1/18
5/30/17,,,,,,,,5/13/16,1/24/17,,
7/10/17,,,,,,,,6/17/16,1/30/18,,
7/25/17,,,,,,,6/21/18,3/11/16,2/10/18,4/10/18,4/10/18
4/27/18,,,,,,,,4/14/16,N/A,,
8/23/17,,,,,,,,5/12/16,3/5/18,,
1/22/18,,,,,,,,4/12/16,3/2/18,4/18/18,4/18/18
3/14/17,,,,,,,,4/14/16,,,
1/11/18,,,,,,,,5/26/16,1/23/18,5/2/18,5/2/18
4/20/18,,,,,,,,5/3/16,2/2/18,3/23/18,3/23/18
7/10/17,,,,,,,6/19/18,2/10/16,10/15/17,4/10/18,4/10/18
12/23/16,,,,,,,,5/9/16,1/31/18,,
3/17/17,5/18/18,,,,,Yes,,5/19/16,1/8/18,3/1/18,3/1/18
1/10/18,,,,,,,,6/2/16,1/10/18,3/1/18,3/1/18
